1,24,1,20,1
2,111,1,21,0
3,107,1,22,0
4,105,1,23,0
5,103,1,24,0
6,102,1,25,0
7,101,1,26,0
8,100,1,27,0
9,97,1,28,0
10,96,1,29,0
11,95,1,30,0
12,92,1,31,0
13,91,1,32,0
14,89,1,33,0
15,88,1,34,0
16,86,1,35,0
17,85,1,36,0
18,84,1,37,0
19,80,1,38,0
20,78,1,39,0
21,77,1,40,0
22,73,1,41,0
23,72,1,42,0
24,71,1,43,0
25,69,1,44,0
26,68,1,45,0
27,67,1,46,0
28,66,1,47,0
29,65,1,48,0
30,64,1,49,0
31,62,1,50,0
32,56,1,51,0
33,54,1,52,0
34,53,1,53,0
35,52,1,54,0
36,49,1,55,0
37,48,1,56,0
38,47,1,57,0
39,45,1,58,0
40,44,1,59,0
41,43,1,60,0
42,41,1,61,0
43,39,1,62,0
44,33,1,63,0
45,32,1,64,0
46,30,1,65,0
47,25,1,66,0
48,23,1,67,0
49,21,1,68,0
50,17,1,69,0
51,16,1,70,0
52,15,1,71,0
53,14,1,72,0
54,11,1,73,0
55,9,1,74,0
56,7,1,75,0
57,6,1,76,0
58,5,1,77,0
59,4,1,78,0
60,3,1,79,0
61,1,1,80,0
62,106,2,220,1
63,61,2,221,1
64,55,2,222,1
65,114,2,223,0
66,113,2,224,0
67,112,2,225,0
68,110,2,226,0
69,98,2,227,0
70,94,2,228,0
71,87,2,229,0
72,83,2,230,0
73,82,2,231,0
74,81,2,232,0
75,79,2,233,0
76,75,2,234,0
77,63,2,235,0
78,51,2,236,0
79,50,2,237,0
80,46,2,238,0
81,42,2,239,0
82,40,2,240,0
83,38,2,241,0
84,37,2,242,0
85,36,2,243,0
86,35,2,244,0
87,31,2,245,0
88,26,2,246,0
89,20,2,247,0
90,19,2,248,0
91,18,2,249,0
92,13,2,250,0
93,12,2,251,0
94,10,2,252,0
95,8,2,253,0
96,93,3,120,1
97,109,3,121,0
98,108,3,122,0
99,104,3,123,0
100,99,3,124,0
101,90,3,125,0
102,76,3,126,0
103,74,3,127,0
104,70,3,128,0
105,60,3,129,0
106,59,3,130,0
107,58,3,131,0
108,57,3,132,0
109,34,3,133,0
110,29,3,134,0
111,28,3,135,0
112,27,3,136,0
113,22,3,137,0
114,2,3,138,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
